mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,eps_learn,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
naive,64,0.3,0.001,0.0,10,5000,1000.0,5.0,True,grid,0.3829327816176118,0.7175494071146246,0.7046303909111293,0.21111704970603956,0.2460991574521901,0.18765635286372614,0.23054433165796132
naive,64,0.3,0.001,0.0,15,5000,1000.0,5.0,True,grid,0.4924900211126036,0.9233596837944664,0.5414455489946932,0.40185284161767326,0.4381932220190385,0.3336734693877551,0.31641536086199534
naive,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,True,grid,0.327644547203118,0.6252173913043478,0.6442372374616937,0.06575806164261536,0.07338540153470169,0.21854838709677418,0.338720804178575
naive,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,True,grid,0.5296436863207957,0.8999604743083004,0.8835675312056207,0.4199180473899875,0.3783261839249398,0.30446017116524027,0.2916297099306856
naive,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,True,grid,0.4972223685571621,0.5738537549407114,0.54124000298976,0.5086406556208801,0.5058021294413207,0.49925938117182356,0.3545382871784764
naive,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,True,grid,0.4513717918850533,0.5519762845849803,0.5220494805291875,0.49515410653839304,0.47661203493240817,0.33280118499012507,0.3296376597352255
naive,64,0.3,0.0005,0.0001,10,5000,1000.0,5.0,True,grid,0.49542483658177705,0.8630237154150198,0.7664436803946483,0.4144664172456797,0.32685044349118997,0.283953258722844,0.3178115042212805
naive,64,0.3,0.0005,0.0001,15,5000,1000.0,5.0,True,grid,0.48492410356468535,0.8980434782608696,0.8061140593467374,0.4642615357206485,0.43812486114196847,0.1662936142198815,0.13670707269800597
naive,64,0.5,0.001,0.0,10,5000,1000.0,5.0,True,grid,0.4079767159152608,0.8247430830039526,0.7748523805964571,0.2964012114733654,0.26194179071317486,0.15590849242922974,0.13401333727538517
naive,64,0.5,0.001,0.0,15,5000,1000.0,5.0,True,grid,0.41451803881648625,0.7003557312252965,0.7721242245309814,0.35045430251202564,0.21704578469741767,0.2217906517445688,0.22533753818862717
naive,64,0.5,0.001,0.0001,10,5000,1000.0,5.0,True,grid,0.402690101291791,0.7721936758893281,0.7721055385305329,0.23668270087297347,0.2059713226120691,0.21135615536537194,0.2178312144804704
naive,64,0.5,0.001,0.0001,15,5000,1000.0,5.0,True,grid,0.3670055689364438,0.8436956521739131,0.7053030869272741,0.16322822020309993,0.14514723223898962,0.17657998683344306,0.16807923524194343
rehearsal,64,0.3,0.001,0.0,10,5000,1000.0,5.0,True,grid,0.7865636714696267,0.5539328063241107,0.8739442409746618,0.8264564404061999,0.8067438005229607,0.8025345622119816,0.8557701783778456
rehearsal,64,0.3,0.001,0.0,15,5000,1000.0,5.0,True,grid,0.791292570912136,0.6793873517786562,0.8473166903356005,0.7923213967575272,0.7893972279664349,0.8021066491112574,0.8372261095233402
rehearsal,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,True,grid,0.7984247211602612,0.8625296442687747,0.8728604529486509,0.7551933012649207,0.8209286825149966,0.7515141540487162,0.7275220919155087
rehearsal,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,True,grid,0.7929937103316442,0.9440909090909091,0.9427647806263547,0.6328344913593443,0.6939996240151761,0.73275181040158,0.8115206464965015
