mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,num_heads,feat_drop,attn_drop,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
rehearsal,256,0.0,0.0001,1e-05,120,5000,500.0,2.0,1,0.0,0.2,random,0.7692314057910962,0.9777470355731225,0.7297256895134165,0.7073044717619811,0.7147300599866696,0.7247366688610928,0.761144509050294
rehearsal,256,0.5,0.001,1e-05,120,5000,500.0,10.0,2,0.0,0.2,random,0.87926141359087,0.9945849802371541,0.9656177591748262,0.8200249420986995,0.8035137490814007,0.842741935483871,0.8490851154692685
rehearsal,256,0.0,0.0005,0.0,120,2000,500.0,5.0,2,0.2,0.2,random,0.6274078330048445,0.9933201581027667,0.657541669781,0.6755567432745413,0.3606719874215986,0.4640552995391705,0.6133011399099898
rehearsal,64,0.3,0.0001,0.0001,60,5000,500.0,2.0,1,0.0,0.2,random,0.25747950444814727,0.540098814229249,0.510912624261903,0.13637983253162303,0.12539093876574436,0.11800526662277815,0.11408955027758615
rehearsal,256,0.3,0.001,0.0001,90,2000,1000.0,10.0,1,0.0,0.2,random,0.683946717449147,0.992905138339921,0.638369833320876,0.5850525565651167,0.6732862782629501,0.5802995391705069,0.6337669590355113
rehearsal,256,0.0,0.001,0.0,60,10000,1000.0,2.0,1,0.2,0.2,random,0.9302352449060454,0.9876877470355732,0.9604230510501532,0.9194192054159985,0.903628253550493,0.9084924292297564,0.9017607831542985
rehearsal,256,0.3,0.001,0.0001,90,2000,500.0,10.0,1,0.0,0.2,random,0.6986573272494437,0.994505928853755,0.636837581284102,0.6598966684482451,0.6452412284449609,0.615339038841343,0.6401235176242568
rehearsal,128,0.3,0.0001,1e-05,120,5000,2000.0,10.0,4,0.2,0.2,random,0.8298985366558894,0.9758893280632411,0.8551274385230585,0.7914306075182612,0.7615059901218533,0.7823568136932192,0.8130810420157025
rehearsal,128,0.5,0.0005,1e-05,60,2000,1000.0,5.0,2,0.0,0.0,random,0.6605662123880325,0.9788932806324111,0.7070782569698781,0.6132014965259219,0.5755473142720421,0.5887590520078999,0.49991787392004206
ewc,256,0.0,0.0005,0.0,90,10000,500.0,10.0,2,0.2,0.0,random,0.23408602159656908,0.9923913043478261,0.25190597204574333,0.04657046142882594,0.07099277083724984,0.04065174456879526,0.0020038763509740154
ewc,128,0.3,0.0005,0.0,90,5000,1000.0,10.0,1,0.2,0.0,random,0.21656520304499172,0.968498023715415,0.08264817998355632,0.04657046142882594,0.08521183326782082,0.07773206056616194,0.0387306593081699
ewc,128,0.5,0.001,0.0,60,2000,1000.0,10.0,2,0.0,0.0,random,0.23130591268557818,0.9916600790513834,0.18643022647432544,0.04657046142882594,0.08533146480269342,0.07583936800526662,0.0020038763509740154
ewc,256,0.0,0.0001,0.0,60,5000,1000.0,2.0,2,0.2,0.0,random,0.2838070425183603,0.9694861660079052,0.3658532027804769,0.12455015143417067,0.09667937039632218,0.08536866359447004,0.060904700896816794
ewc,64,0.5,0.0001,1e-05,90,2000,500.0,2.0,4,0.0,0.2,random,0.20514037682511096,0.6973320158102767,0.28195306076687343,0.06802066631035097,0.0772819715276947,0.08187952600394997,0.02437502053151999
ewc,128,0.3,0.0001,0.0001,90,2000,500.0,10.0,4,0.0,0.2,random,0.28656777180432963,0.9704150197628458,0.43970027655280663,0.07584179583110635,0.10799309555141592,0.12327188940092165,0.0021845537268815086
ewc,128,0.5,0.0001,0.0,60,5000,2000.0,5.0,1,0.0,0.2,random,0.41443577337378423,0.8612845849802372,0.5711936617086478,0.46538393016212365,0.24580862372464238,0.19759710335747202,0.14534673630958247
ewc,128,0.0,0.001,0.0,60,10000,500.0,10.0,4,0.2,0.2,random,0.24728405695582692,0.9942885375494072,0.3319754839674116,0.04657046142882594,0.0425888264146429,0.0662771560236998,0.0020038763509740154
ewc,128,0.0,0.0001,0.0001,60,10000,2000.0,2.0,4,0.2,0.2,random,0.21695290607709872,0.9653162055335969,0.054488377307721055,0.05815072153928381,0.10715567480730778,0.07569124423963133,0.04091521303505141
ewc,64,0.0,0.0005,0.0,60,2000,2000.0,5.0,1,0.0,0.0,random,0.4101037817862807,0.963498023715415,0.6076687345840496,0.38467842508462496,0.21111547861159058,0.16173469387755102,0.1319273348444532
ewc,128,0.0,0.0005,1e-05,120,2000,2000.0,2.0,1,0.2,0.0,random,0.2001566313836941,0.9916600790513834,0.05450706330816952,0.05280598610368787,0.07465007776049767,0.02531270572745227,0.0020038763509740154
ewc,256,0.5,0.0001,0.0001,120,5000,1000.0,5.0,1,0.0,0.0,random,0.29379746301177884,0.9787747035573122,0.46757978922191495,0.08045608409050418,0.0877582759386803,0.09575378538512179,0.05246213987713939
si,128,0.3,0.001,0.0001,90,2000,1000.0,10.0,1,0.2,0.2,random,0.2001432917116284,0.9903557312252964,0.054488377307721055,0.04657046142882594,0.07171056004648539,0.03573074391046741,0.0020038763509740154
si,256,0.5,0.0001,0.0001,90,5000,1000.0,10.0,4,0.2,0.2,random,0.22719884080019334,0.975909090909091,0.192372374616937,0.07961874220559416,0.08386170594568729,0.029427254772876894,0.0020038763509740154
si,64,0.5,0.001,1e-05,90,5000,1000.0,5.0,1,0.2,0.0,random,0.18449854519044837,0.9140513833992094,0.054488377307721055,0.04651701407446998,0.06817288465811017,0.021757735352205397,0.0020038763509740154
si,64,0.3,0.0005,1e-05,90,2000,500.0,2.0,4,0.0,0.2,random,0.208292470534017,0.9774703557312253,0.10408102249794454,0.04657046142882594,0.08485293866320305,0.0347761685319289,0.0020038763509740154
